Burst_Name,Burst_PNG,Workflow,BurstID,Simple,Extended,Other,Too_Noisy,Verify,Symmetrical,FastRiseSlowDecay,UnderlyingEmission,RapidlyVarying,Primary_Z_Score,Primary_P_Value,Primary_Confidence_Level,Secondary_Z_Score,Secondary_P_Value,Secondary_Confidence_Level,Cluster,Color
GRB041217,GRB041217_100116.png,25637,95372762,15,3,1,0,Simple,13,5,2,0,2.951244578069648,0.0599645667971548,0.9400354332028452,-0.5038710255240862,0.2648675767147155,0.7351324232852845,7,pink
GRB041219C,GRB041219C_100380.png,25637,95372765,16,5,2,2,Simple,9,12,1,0,2.9314195092110324,0.0609307430705798,0.93906925692942,-0.3758230140014144,0.2912280448146898,0.7087719551853102,7,pink
GRB041220,GRB041220_100433.png,25637,95372767,13,1,2,0,Simple,11,5,0,0,2.972602165841173,0.058945082876942,0.941054917123058,-0.6605782590758164,0.2781782527672631,0.7218217472327368,7,pink
GRB041223,GRB041223_100585.png,25637,95372768,2,10,15,1,Other,6,9,23,0,2.3940224066583187,0.0963915337559981,0.9036084662440018,0.8977584024968696,0.1704436490623708,0.8295563509376291,5,purple
GRB041224,GRB041224_100703.png,25637,95372769,2,5,16,0,Other,13,9,14,0,2.8729222905823684,0.0638974308205906,0.9361025691794094,-0.2102138261401732,0.2054303973592852,0.7945696026407147,3,orange
GRB041226,GRB041226_100815.png,25637,95372770,14,5,8,1,Simple,15,2,9,0,2.556038601690775,0.0835018872276838,0.9164981127723162,0.3651483716701107,0.1161575283475384,0.8838424716524615,6,brown
GRB041228,GRB041228_100970.png,25637,95372771,3,12,15,1,Other,5,12,13,0,2.1321224040720423,0.1227642878803885,0.8772357121196115,1.249864857559473,0.1413578074004591,0.8586421925995409,5,purple
GRB050117,GRB050117_102861.png,25637,95372774,0,3,12,0,Other,8,3,12,0,2.905487990874559,0.0622241275996999,0.9377758724003,-0.2641352718976871,0.2783193560920389,0.721680643907961,3,orange
GRB050124,GRB050124_103647.png,25637,95372775,18,6,2,0,Simple,10,11,4,0,2.852798895551795,0.0649595631351147,0.9350404368648852,-0.1240347345892084,0.205258965872457,0.7947410341275429,7,pink
GRB050126,GRB050126_103780.png,25637,95372777,10,15,8,1,Extended,5,18,13,0,2.240491459523562,0.0814131226896981,0.918586877310302,0.5170364906592835,0.1109110096403029,0.889088990359697,8,cyan
GRB050128,GRB050128_103906.png,25637,95372780,3,8,15,2,Other,5,4,19,0,2.6917063396418124,0.0743065128497479,0.925693487150252,0.3364632924552265,0.1910976324597959,0.8089023675402041,5,purple
GRB050202,GRB050202_104298.png,25637,95372781,20,0,13,4,Simple,19,4,0,0,2.390118690200149,0.0967310326179531,0.9032689673820468,0.8337623337907498,0.1319237266475572,0.8680762733524428,6,brown
GRB050215A,GRB050215A_106106.png,25637,95372782,4,13,10,11,Extended,10,1,11,0,1.807392228230128,0.0656364331763095,0.9343635668236904,0.7745966692414834,0.168429245320145,0.831570754679855,8,cyan
GRB050215B,GRB050215B_106107.png,25637,95372783,11,7,2,0,Simple,8,7,7,0,2.416161798770488,0.0944933481384928,0.9055066518615073,0.8053872662568292,0.1375214250263423,0.8624785749736577,4,gray
GRB050219A,GRB050219A_106415.png,25637,95372784,17,3,8,1,Simple,18,3,11,0,2.7327797398222526,0.0717726387369932,0.9282273612630068,0.2102138261401732,0.1781050048115617,0.8218949951884382,7,pink
GRB050219B,GRB050219B_106442.png,25637,95372785,19,4,8,1,Simple,20,2,9,0,2.794002794004191,0.068191611290598,0.931808388709402,0.0,0.1734655279714769,0.826534472028523,7,pink
