,Burst Name,Burst ID,Boxes,Count
0,GRB041217,95372762,3,30
1,GRB041219C,95372765,4,28
2,GRB041220,95372767,3,35
3,GRB041223,95372768,6,26
4,GRB041224,95372769,5,32
5,GRB041226,95372770,5,29
6,GRB041228,95372771,3,31
7,GRB050117,95372774,8,35
8,GRB050124,95372775,3,26
9,GRB050126,95372777,3,35
10,GRB050128,95372780,5,30
11,GRB050202,95372781,3,31
12,GRB050215A,95372782,6,36
13,GRB050215B,95372783,4,31
14,GRB050219A,95372784,3,30
15,GRB050219B,95372785,5,30
16,GRB050223,95372786,6,35
17,GRB050306,95372789,9,28
18,GRB050315,95372791,5,27
19,GRB050318,95372793,5,23
20,GRB050319,95372795,8,32
21,GRB050326,95372796,7,24
22,GRB050401,95372797,7,36
23,GRB050406,95372798,3,37
24,GRB050410,95372799,4,34
25,GRB050412,95372801,5,32
26,GRB050416A,95372803,3,40
27,GRB050416B,95372805,3,28
28,GRB050418,95372807,6,35
29,GRB050421,95372808,3,29
30,GRB050422,95372809,6,30
31,GRB050502B,95372810,7,31
32,GRB050505,95372811,11,44
33,GRB050507,95372813,3,22
34,GRB050509A,95372815,4,31
35,GRB050509B,95372816,1,27
36,GRB050525A,95372819,4,33
37,GRB050528,95372821,4,29
38,GRB050603,95372822,4,35
39,GRB050607,95372823,5,30
40,GRB050701,95372824,8,30
41,GRB050712,95372825,4,29
42,GRB050713A,95372826,7,34
43,GRB050713B,95372828,3,22
44,GRB050714B,95372829,2,32
45,GRB050715,95372832,5,37
46,GRB050716,95372834,5,36
47,GRB050717,95372836,3,34
48,GRB050721,95372837,3,32
49,GRB050724,95372838,5,24
50,GRB050726,95372839,4,33
51,GRB050730,95372841,6,39
52,GRB050801,95372842,3,32
53,GRB050802,95372843,5,34
54,GRB050803,95372846,7,34
55,GRB050813,95372847,4,31
56,GRB050814,95372849,3,28
57,GRB050815,95372850,3,35
58,GRB050819,95372851,5,35
59,GRB050820A,95372852,5,31
60,GRB050820B,95372855,5,40
61,GRB050822,95372856,8,30
62,GRB050824,95372857,3,28
63,GRB050826,95372859,5,31
64,GRB050827,95372861,8,33
65,GRB050904,95372863,4,27
66,GRB050908,95372864,4,31
67,GRB050911,95372865,5,26
68,GRB050915A,95372866,7,29
69,GRB050915B,95372868,3,26
70,GRB050916,95372869,4,28
71,GRB050922B,95372870,5,33
72,GRB050922C,95372872,3,30
73,GRB050925,95372875,4,30
74,GRB051001,95372876,4,26
75,GRB051006,95372877,5,26
76,GRB051008,95372878,6,25
77,GRB051016A,95372880,4,28
78,GRB051016B,95372881,3,36
79,GRB051021B,95372882,3,31
80,GRB051105A,95372884,4,40
81,GRB051109A,95372885,4,29
82,GRB051109B,95372887,5,33
83,GRB051111,95372889,2,30
84,GRB051113,95372890,7,27
85,GRB051117A,95372891,3,21
86,GRB051117B,95372893,4,29
87,GRB051210,95372894,4,34
88,GRB051213,95372895,4,23
89,GRB051221A,95372896,3,28
90,GRB051221B,95372898,5,32
91,GRB051227,95372900,4,27
92,GRB060102,95372902,4,29
93,GRB060105,95372903,7,27
94,GRB060108,95372904,3,38
95,GRB060109,95372905,5,35
96,GRB060110,95372907,4,33
97,GRB060111A,95372908,3,28
98,GRB060111B,95372910,7,31
99,GRB060115,95372911,5,33
100,GRB060116,95372914,7,30
101,GRB060117,95372915,5,33
102,GRB060124,95372916,5,26
103,GRB060202,95372917,4,28
104,GRB060203,95372919,3,33
105,GRB060204B,95372920,4,31
106,GRB060206,95372922,3,33
107,GRB060210,95372923,4,35
108,GRB060211A,95372924,4,31
109,GRB060211B,95372927,4,28
110,GRB060219,95372928,5,25
111,GRB060223A,95372929,4,28
112,GRB060223B,95372931,3,26
113,GRB060306,95372932,8,29
114,GRB060312,95372933,6,31
115,GRB060313,95372935,3,29
116,GRB060319,95372936,4,36
117,GRB060322,95372938,6,27
118,GRB060323,95372939,5,35
119,GRB060403,95372941,2,29
120,GRB060413,95372942,4,30
121,GRB060418,95372944,4,28
122,GRB060421,95372945,6,39
123,GRB060424,95372946,7,29
124,GRB060427,95372948,4,29
125,GRB060428A,95372950,5,32
126,GRB060428B,95372951,4,22
127,GRB060501,95372952,5,35
128,GRB060502A,95372955,4,32
129,GRB060502B,95372956,4,37
130,GRB060507,95372957,4,29
131,GRB060510A,95372958,6,36
132,GRB060510B,95372959,8,34
133,GRB060512,95372962,3,29
134,GRB060515,95372963,3,30
135,GRB060516,95372964,2,35
136,GRB060522,95372965,6,27
137,GRB060526,95372967,7,35
138,GRB060602A,95372969,3,30
139,GRB060604,95372970,4,24
140,GRB060605,95372971,5,32
141,GRB060607A,95372972,7,34
142,GRB060607B,95372974,4,32
143,GRB060614,95372976,5,31
144,GRB060707,95372977,6,32
145,GRB060708,95372978,3,32
146,GRB060712,95372980,5,31
147,GRB060714,95372981,5,33
148,GRB060717,95372983,3,32
149,GRB060719,95372984,5,36
150,GRB060729,95372985,5,24
151,GRB060801,95372987,3,28
152,GRB060804,95372989,5,27
153,GRB060805A,95372990,3,34
154,GRB060807,95372991,8,35
155,GRB060813,95372993,3,26
156,GRB060814,95372994,6,39
157,GRB060825,95372996,3,24
158,GRB060904A,95372997,7,33
159,GRB060904B,95372998,4,28
160,GRB060906,95373000,6,31
161,GRB060908,95373002,5,28
162,GRB060912A,95373003,3,32
163,GRB060919,95373004,4,28
164,GRB060923A,95373006,5,27
165,GRB060923B,95373007,3,34
166,GRB060923C,95373009,6,32
167,GRB060926,95373010,3,24
168,GRB060927,95373011,5,33
169,GRB060929,95373013,3,30
170,GRB061002,95373015,4,29
171,GRB061004,95373016,4,26
172,GRB061006,95373018,5,32
173,GRB061007,95373019,6,34
174,GRB061019,95373020,5,29
175,GRB061021,95373021,3,29
176,GRB061028,95373023,4,31
177,GRB061102,95373025,3,33
178,GRB061110A,95373027,3,31
179,GRB061110B,95373029,5,32
180,GRB061121,95373030,5,40
181,GRB061126,95373031,5,28
182,GRB061201,95373033,4,28
183,GRB061202,95373034,4,31
184,GRB061210,95373035,3,31
185,GRB061217,95373036,4,30
186,GRB061222A,95373038,6,27
187,GRB061222B,95373040,6,32
188,GRB070103,95373041,6,33
189,GRB070107,95373043,4,32
190,GRB070110,95373045,4,34
191,GRB070129,95373047,3,29
192,GRB070208,95373048,6,29
193,GRB070209,95373049,2,29
194,GRB070219,95373050,3,40
195,GRB070220,95373052,2,26
196,GRB070223,95373054,5,27
197,GRB070224,95373055,3,29
198,GRB070227,95373057,3,28
199,GRB070306,95373059,7,28
200,GRB070318,95373060,3,32
201,GRB070328,95373061,3,30
202,GRB070330,95373062,4,27
203,GRB070411,95373063,7,32
204,GRB070412,95373065,8,31
205,GRB070419A,95373067,2,31
206,GRB070419B,95373069,4,38
207,GRB070420,95373070,4,27
208,GRB070427,95373073,3,28
209,GRB070429A,95373074,3,30
210,GRB070429B,95373075,3,33
211,GRB070506,95373076,4,30
212,GRB070508,95373077,6,39
213,GRB070509,95373078,3,29
214,GRB070517,95373079,5,29
215,GRB070518,95373082,4,33
216,GRB070520A,95373083,4,30
217,GRB070520B,95373085,3,25
218,GRB070521,95373088,6,30
219,GRB070529,95373089,4,31
220,GRB070531,95373090,4,28
221,GRB070611,95373091,5,35
222,GRB070612A,95373092,6,26
223,GRB070612B,95373093,5,30
224,GRB070616,95373096,5,31
225,GRB070621,95373098,4,26
226,GRB070628,95373099,4,41
227,GRB070704,95373101,4,30
228,GRB070714A,95373102,4,29
229,GRB070714B,95373103,3,30
230,GRB070721A,95373104,3,28
231,GRB070721B,95373105,6,34
232,GRB070724A,95373109,3,27
233,GRB070729,95373110,4,31
234,GRB070731,95373112,3,25
235,GRB070802,95373114,3,26
236,GRB070805,95373115,4,36
237,GRB070808,95373116,3,24
238,GRB070809,95373117,4,30
239,GRB070810A,95373118,3,34
240,GRB070810B,95373119,3,29
241,GRB070911,95373122,6,27
242,GRB070913,95373123,2,30
243,GRB070917,95373126,3,29
244,GRB070920A,95373128,4,29
245,GRB070920B,95373129,5,28
246,GRB070923,95373130,2,27
247,GRB071001,95373131,7,32
248,GRB071003,95373132,5,33
249,GRB071006,95373133,3,22
250,GRB071008,95373135,4,27
251,GRB071010A,95373137,3,30
252,GRB071010B,95373138,5,24
253,GRB071010C,95373141,2,25
254,GRB071011,95373142,3,25
255,GRB071013,95373143,4,29
256,GRB071018,95373144,1,29
257,GRB071020,95373146,4,32
258,GRB071021,95373147,3,31
259,GRB071025,95373149,3,28
260,GRB071028A,95373151,3,34
261,GRB071028B,95373152,5,27
262,GRB071031,95373155,5,31
263,GRB071101,95373156,2,31
264,GRB071112B,95373157,3,30
265,GRB071117,95373158,3,30
266,GRB071118,95373159,1,28
267,GRB071122,95373160,3,33
268,GRB071129,95373163,4,27
269,GRB071227,95373165,3,31
270,GRB080123,95373167,6,30
271,GRB080129,95373168,4,30
272,GRB080205,95373169,5,30
273,GRB080207,95373170,5,24
274,GRB080210,95373171,5,27
275,GRB080212,95373172,7,26
276,GRB080218A,95373173,6,26
277,GRB080218B,95373175,4,31
278,GRB080229A,95373177,8,28
279,GRB080303,95373179,3,24
280,GRB080307,95373181,2,29
281,GRB080310,95373182,4,27
282,GRB080319A,95373183,6,27
283,GRB080319B,95373184,3,31
284,GRB080319C,95373185,3,35
285,GRB080319D,95373186,6,38
286,GRB080320,95373187,4,29
287,GRB080325,95373189,6,30
288,GRB080328,95373191,10,32
289,GRB080330,95373193,7,38
290,GRB080409,95373194,5,26
291,GRB080411,95373195,7,30
292,GRB080413A,95373197,6,26
293,GRB080413B,95373198,3,31
294,GRB080426,95373199,3,27
295,GRB080430,95373200,3,29
296,GRB080503,95373202,4,28
297,GRB080506,95373203,5,30
298,GRB080515,95373206,6,29
299,GRB080516,95373207,6,29
300,GRB080517,95373208,3,29
301,GRB080520,95373209,4,38
302,GRB080523,95373211,4,32
303,GRB080602,95373212,6,27
304,GRB080603B,95373213,6,25
305,GRB080604,95373214,7,29
306,GRB080605,95373216,6,34
307,GRB080607,95373219,6,33
308,GRB080613B,95373220,3,32
309,GRB080623,95373221,5,31
310,GRB080701,95373222,3,29
311,GRB080702A,95373223,3,25
312,GRB080703,95373224,3,32
313,GRB080707,95373226,5,32
314,GRB080710,95373227,3,33
315,GRB080714,95373229,3,31
316,GRB080721,95373230,4,33
317,GRB080723A,95373232,5,38
318,GRB080725,95373234,4,32
319,GRB080727A,95373235,3,28
320,GRB080727B,95373236,5,28
321,GRB080727C,95373237,5,27
322,GRB080802,95373238,4,34
323,GRB080804,95373239,3,32
324,GRB080805,95373241,3,26
325,GRB080810,95373243,7,27
326,GRB080903,95373246,3,29
327,GRB080905A,95373247,3,31
328,GRB080905B,95373248,6,30
329,GRB080906,95373249,4,36
330,GRB080913,95373250,2,29
331,GRB080915A,95373251,6,35
332,GRB080915B,95373253,3,28
333,GRB080916A,95373254,4,32
334,GRB080916B,95373256,4,29
335,GRB080919,95373258,5,31
336,GRB080928,95373259,4,22
337,GRB081007,95373260,5,35
338,GRB081008,95373261,8,29
339,GRB081011,95373263,3,26
340,GRB081012,95373264,6,35
341,GRB081016B,95373266,3,30
342,GRB081022,95373268,3,27
343,GRB081024A,95373270,3,28
344,GRB081028A,95373271,5,35
345,GRB081029,95373272,2,29
346,GRB081101,95373273,4,32
347,GRB081102,95373274,3,37
348,GRB081104,95373275,5,34
349,GRB081105A,95373276,3,28
350,GRB081109A,95373278,3,31
351,GRB081118,95373279,6,39
352,GRB081121,95373281,4,29
353,GRB081126,95373283,7,30
354,GRB081127,95373284,4,30
355,GRB081128,95373286,5,34
356,GRB081203A,95373287,4,30
357,GRB081210,95373288,7,30
358,GRB081211A,95373289,4,40
359,GRB081221,95373291,3,25
360,GRB081222,95373292,3,29
361,GRB081226A,95373294,5,29
362,GRB081228,95373295,3,35
363,GRB081230,95373297,6,35
364,GRB090102,95373299,5,27
365,GRB090107A,95373300,5,38
366,GRB090111,95373301,5,30
367,GRB090113,95373302,4,31
368,GRB090123,95373305,5,32
369,GRB090129,95373306,3,37
370,GRB090201,95373307,6,33
371,GRB090205,95373309,5,36
372,GRB090301A,95373311,8,41
373,GRB090305A,95373313,4,36
374,GRB090307A,95373314,4,31
375,GRB090308A,95373316,5,31
376,GRB090309A,95373317,3,32
377,GRB090313,95373318,5,27
378,GRB090401A,95373321,5,31
379,GRB090401B,95373323,3,32
