,Burst Name,Burst ID,Pulse,Noise,Cant Tell,No Response
0,GRB111228A,95225861,2638,393,238,0
1,GRB150711A,95225862,2218,582,420,0
2,GRB151210A,95225863,2574,308,343,0
3,GRB170126A,95225864,3135,61,17,0
4,GRB181126A,95225865,3143,115,46,0
5,GRB190106A,95225866,2786,251,143,0
6,GRB190110A,95225867,281,2838,172,0
7,GRB190114B,95225868,2063,390,773,0
8,GRB190123A,95225869,1682,718,871,0
9,GRB190324A,95225870,2589,378,247,0
10,GRB190611A,95225871,599,2207,498,0
11,GRB190719C,95225872,2293,560,358,0
12,GRB190824A,95225873,2831,206,133,0
13,GRB190829A,95225874,120,2998,94,0
14,GRB200131A,95225875,2443,486,301,0
15,GRB200216B,95225876,1420,1236,645,0
16,GRB200224A,95225877,1373,867,977,0
17,GRB200425A,95225878,164,2713,335,0
18,GRB200512A,95225879,785,1745,731,0
