Burst_Name,Burst_PNG,Workflow,BurstID,Simple,Extended,Other,Too_Noisy,Verify,Symmetrical,FastRiseSlowDecay,UnderlyingEmission,RapidlyVarying,Primary_Z_Score,Primary_P_Value,Primary_Confidence_Level,Secondary_Z_Score,Secondary_P_Value,Secondary_Confidence_Level
GRB041217,GRB041217_100116.png,25637,95372762,15,3,1,0,Simple,13,5,2,0,2.9512445780696477,0.059964566797154895,0.9400354332028451,-0.5038710255240862,0.2648675767147155,0.7351324232852845
GRB041219C,GRB041219C_100380.png,25637,95372765,16,5,2,2,Simple,9,12,1,0,2.9314195092110324,0.060930743070579885,0.9390692569294201,-0.37582301400141443,0.2912280448146898,0.7087719551853102
GRB041220,GRB041220_100433.png,25637,95372767,13,1,2,0,Simple,11,5,0,0,2.9726021658411734,0.058945082876942,0.941054917123058,-0.6605782590758164,0.27817825276726316,0.7218217472327368
GRB041223,GRB041223_100585.png,25637,95372768,2,10,15,1,Other,6,9,23,0,2.3940224066583187,0.09639153375599818,0.9036084662440018,0.8977584024968696,0.17044364906237086,0.8295563509376291
GRB041224,GRB041224_100703.png,25637,95372769,2,5,16,0,Other,13,9,14,0,2.8729222905823684,0.06389743082059063,0.9361025691794094,-0.21021382614017328,0.20543039735928526,0.7945696026407147
GRB041226,GRB041226_100815.png,25637,95372770,14,5,8,1,Simple,15,2,9,0,2.556038601690775,0.08350188722768381,0.9164981127723162,0.3651483716701107,0.11615752834753845,0.8838424716524615
GRB041228,GRB041228_100970.png,25637,95372771,3,12,15,1,Other,5,12,13,0,2.1321224040720423,0.12276428788038851,0.8772357121196115,1.249864857559473,0.1413578074004591,0.8586421925995409
GRB050117,GRB050117_102861.png,25637,95372774,0,3,12,0,Other,8,3,12,0,2.905487990874559,0.062224127599699974,0.9377758724003,-0.26413527189768715,0.27831935609203895,0.721680643907961
GRB050124,GRB050124_103647.png,25637,95372775,18,6,2,0,Simple,10,11,4,0,2.852798895551795,0.06495956313511475,0.9350404368648852,-0.12403473458920847,0.20525896587245707,0.7947410341275429
GRB050126,GRB050126_103780.png,25637,95372777,10,15,8,1,Extended,5,18,13,0,2.240491459523562,0.08141312268969814,0.9185868773103019,0.5170364906592835,0.11091100964030298,0.889088990359697
GRB050128,GRB050128_103906.png,25637,95372780,3,8,15,2,Other,5,4,19,0,2.6917063396418124,0.07430651284974799,0.925693487150252,0.33646329245522655,0.19109763245979594,0.8089023675402041
GRB050202,GRB050202_104298.png,25637,95372781,20,0,13,4,Simple,19,4,0,0,2.390118690200149,0.09673103261795313,0.9032689673820469,0.8337623337907498,0.13192372664755725,0.8680762733524428
GRB050215A,GRB050215A_106106.png,25637,95372782,4,13,10,11,Extended,10,1,11,0,1.8073922282301278,0.06563643317630952,0.9343635668236905,0.7745966692414834,0.16842924532014503,0.831570754679855
GRB050215B,GRB050215B_106107.png,25637,95372783,11,7,2,0,Simple,8,7,7,0,2.4161617987704878,0.09449334813849286,0.9055066518615071,0.8053872662568292,0.13752142502634235,0.8624785749736577
GRB050219A,GRB050219A_106415.png,25637,95372784,17,3,8,1,Simple,18,3,11,0,2.7327797398222526,0.07177263873699324,0.9282273612630068,0.21021382614017328,0.17810500481156177,0.8218949951884382
GRB050219B,GRB050219B_106442.png,25637,95372785,19,4,8,1,Simple,20,2,9,0,2.794002794004191,0.06819161129059803,0.931808388709402,0.0,0.17346552797147696,0.826534472028523
GRB050223,GRB050223_106709.png,25637,95372786,7,9,17,4,Other,12,4,17,0,2.7876315193853403,0.06855375770280392,0.9314462422971961,-0.0899235973995271,0.15540049046514048,0.8445995095348595
GRB050306,GRB050306_107547.png,25637,95372789,1,4,16,5,Other,4,5,18,0,2.897472836319489,0.06263083347355547,0.9373691665264445,-0.457495710997814,0.1920407857766384,0.8079592142233616
GRB050315,GRB050315_111063.png,25637,95372791,8,9,14,4,Other,9,13,22,0,2.5528888301902897,0.0837315630807145,0.9162684369192855,0.12156613477096617,0.10405417851383736,0.8959458214861626
GRB050318,GRB050318_111529.png,25637,95372793,1,2,14,0,Other,7,5,7,0,2.976607830191489,0.05875630258487807,0.9412436974151219,-0.6869094992749589,0.28522178772422935,0.7147782122757707
GRB050319,GRB050319_111622.png,25637,95372795,1,4,16,2,Other,3,9,13,0,2.9512445780696477,0.059964566797154895,0.9400354332028451,-0.5038710255240862,0.2648675767147155,0.7351324232852845
GRB050326,GRB050326_112453.png,25637,95372796,1,3,18,0,Other,8,11,13,0,2.966954145484633,0.05921255878818843,0.9407874412118116,-0.5933908290969266,0.28283027530094706,0.7171697246990529
GRB050401,GRB050401_113120.png,25637,95372797,0,1,13,1,Other,9,7,9,0,2.99127270878144,0.05807160857569604,0.941928391424304,-0.8892972917998876,0.3120363567395925,0.6879636432604075
GRB050406,GRB050406_113872.png,25637,95372798,16,2,4,0,Simple,16,1,5,0,2.92155504328906,0.061418751011882655,0.9385812489881173,-0.41736500618415145,0.2234265316037083,0.7765734683962917
GRB050410,GRB050410_114299.png,25637,95372799,9,9,11,1,Other,6,13,13,0,1.5784566588059405,0.060930743070579885,0.9390692569294201,0.676481425202546,0.21257296315231966,0.7874270368476803
GRB050412,GRB050412_114485.png,25637,95372801,5,7,11,3,Other,9,2,11,0,2.6349301969610397,0.07799432643022608,0.9220056735697739,0.29277002188455997,0.13284184055977577,0.8671581594402242
GRB050416A,GRB050416A_114753.png,25637,95372803,25,8,0,4,Simple,13,18,2,0,2.8646229739545723,0.06433282982911126,0.9356671701708887,-0.2273510296789343,0.1910818369267162,0.8089181630732838
GRB050416B,GRB050416B_114797.png,25637,95372805,20,1,0,1,Simple,10,8,1,0,2.9964391678845645,0.05783277643719198,0.942167223562808,-0.9299293969296925,0.33828758073008114,0.6617124192699189
GRB050418,GRB050418_114893.png,25637,95372807,1,11,15,1,Other,14,6,24,0,2.2478059477960657,0.11016167564218504,0.889838324357815,1.1239029738980328,0.19041040899986905,0.809589591000131
GRB050421,GRB050421_115135.png,25637,95372808,19,4,5,11,Simple,9,12,1,0,2.681910603163819,0.07492712406133428,0.9250728759386657,0.3624203517788945,0.19407882784758068,0.8059211721524193
GRB050422,GRB050422_115214.png,25637,95372809,4,2,15,2,Other,12,0,8,0,2.96554085255622,0.059279726644865915,0.9407202733551341,-0.561048269402528,0.3155091669218353,0.6844908330781647
GRB050502B,GRB050502B_116116.png,25637,95372810,2,0,13,0,Other,14,4,4,0,2.96554085255622,0.059279726644865915,0.9407202733551341,-0.561048269402528,0.3155091669218353,0.6844908330781647
GRB050505,GRB050505_117504.png,25637,95372811,1,4,12,2,Other,7,6,12,0,2.904845450329673,0.062256609466288415,0.9377433905337116,-0.30050125348238,0.22998313579348073,0.7700168642065193
GRB050507,GRB050507_118248.png,25637,95372813,4,9,14,9,Other,14,5,12,0,2.449489742783178,0.09172111331157184,0.9082788866884282,0.0,0.09172111331157184,0.9082788866884282
GRB050509A,GRB050509A_118707.png,25637,95372815,10,6,12,2,Other,10,11,11,0,2.029444275607638,0.0892358437773293,0.9107641562226707,1.1274690420042432,0.13541652150795014,0.8645834784920499
GRB050509B,GRB050509B_118749.png,25637,95372816,0,0,3,12,Too Noisy,0,0,0,0,2.905487990874559,0.062224127599699974,0.9377758724003,-0.26413527189768715,0.27831935609203895,0.721680643907961
GRB050525A,GRB050525A_130088.png,25637,95372819,3,9,19,1,Other,16,9,15,0,2.721794126179664,0.07243971679326155,0.9275602832067384,0.24743582965269675,0.18169011381620925,0.8183098861837907
GRB050528,GRB050528_130679.png,25637,95372821,10,2,14,3,Other,8,3,13,0,2.3530212197852136,0.10003106191274913,0.8999689380872509,0.9586382747273092,0.16464883285504373,0.8353511671449563
GRB050603,GRB050603_131560.png,25637,95372822,16,4,6,1,Simple,8,17,5,0,2.8461538461538463,0.06531512849999999,0.9346848715,-0.23076923076923078,0.1750019079323164,0.8249980920676836
GRB050607,GRB050607_132247.png,25637,95372823,6,14,10,1,Extended,9,18,10,0,2.2480899349881773,0.0935023306233218,0.9064976693766782,0.8093123765957438,0.11013270579245482,0.8898672942075452
GRB050701,GRB050701_143708.png,25637,95372824,1,1,14,3,Other,9,7,10,0,2.96554085255622,0.059279726644865915,0.9407202733551341,-0.561048269402528,0.3155091669218353,0.6844908330781647
GRB050712,GRB050712_145581.png,25637,95372825,3,3,14,15,Other/Too Noisy,5,3,13,0,1.8791150700070722,0.15683227011591283,0.8431677298840872,1.5784566588059405,0.18229126545330354,0.8177087345466965
GRB050713A,GRB050713A_145675.png,25637,95372826,12,8,7,2,Simple,13,11,8,0,2.309756560648357,0.0837315630807145,0.9162684369192855,0.3646984043128985,0.10405417851383736,0.8959458214861626
GRB050713B,GRB050713B_145754.png,25637,95372828,9,15,1,4,Extended,1,23,2,0,2.5283317023957212,0.08554912121621427,0.9144508787837857,0.5709136102183887,0.1341786807208294,0.8658213192791706
GRB050714B,GRB050714B_145994.png,25637,95372829,1,0,7,23,Too Noisy,1,0,7,0,2.870257198190406,0.0640368447380899,0.9359631552619101,-0.141160190074938,0.24074587830298677,0.7592541216970132
GRB050715,GRB050715_146129.png,25637,95372832,2,3,14,3,Other,11,4,10,0,2.989672946978801,0.05814581231124594,0.9418541876887541,-0.8793155726408238,0.3060177571255631,0.6939822428744369
GRB050716,GRB050716_146227.png,25637,95372834,3,12,17,2,Other,8,11,19,0,2.3499559556788663,0.10030981079113155,0.8996901892088685,0.967628922926592,0.17018625996211956,0.8298137400378804
GRB050717,GRB050717_146372.png,25637,95372836,9,14,1,2,Extended,1,20,3,0,2.4440645096710583,0.09216554893029127,0.9078344510697087,0.8146881698903526,0.17099168163758294,0.8290083183624171
GRB050721,GRB050721_146970.png,25637,95372837,13,20,1,4,Extended,4,30,8,0,2.424871130596428,0.09375914018742093,0.9062408598125791,0.808290376865476,0.14443018494196647,0.8555698150580335
GRB050724,GRB050724_147478.png,25637,95372838,12,11,0,1,Simple/Extended,14,10,5,0,1.88175014456154,0.15642417872465186,0.8435758212753481,1.56812512046795,0.15642417872465186,0.8435758212753481
GRB050726,GRB050726_147788.png,25637,95372839,5,6,10,9,Other,7,4,10,0,2.100420126042015,0.12651459308133606,0.8734854069186639,1.260252075625209,0.12651459308133606,0.8734854069186639
GRB050730,GRB050730_148225.png,25637,95372841,14,3,2,3,Simple,12,2,6,0,2.989672946978801,0.05814581231124594,0.9418541876887541,-0.8793155726408238,0.3060177571255631,0.6939822428744369
GRB050801,GRB050801_148522.png,25637,95372842,17,16,1,3,Simple/Extended,5,28,4,0,1.840592046986854,0.14494554190999098,0.855054458090009,1.6030962989885502,0.16294184744588192,0.8370581525541181
GRB050802,GRB050802_148646.png,25637,95372843,7,19,10,3,Extended,7,23,14,0,2.7202941017470885,0.0725313985506908,0.9274686014493092,0.07352146220938077,0.1413578074004591,0.8586421925995409
GRB050803,GRB050803_148833.png,25637,95372846,1,12,22,0,Other,17,11,22,0,2.5548968792334175,0.08358504999195127,0.9164149500080487,0.6266728194346117,0.19015055027155792,0.8098494497284421
GRB050813,GRB050813_150139.png,25637,95372847,12,0,1,1,Simple,12,0,0,0,2.989672946978801,0.05814581231124594,0.9418541876887541,-0.8793155726408238,0.3060177571255631,0.6939822428744369
GRB050814,GRB050814_150314.png,25637,95372849,2,7,8,15,Too Noisy,1,11,7,0,2.6148057867316994,0.0793555767009182,0.9206444232990818,0.0,0.1108317720637848,0.8891682279362152
GRB050815,GRB050815_150532.png,25637,95372850,11,2,1,0,Simple,10,2,0,0,2.9607826273189604,0.05950656827081069,0.9404934317291893,-0.592156525463792,0.26098016721417805,0.739019832785822
GRB050819,GRB050819_151131.png,25637,95372851,8,2,10,12,Too Noisy,10,0,7,0,1.8516401995451028,0.06913686926442875,0.9308631307355713,0.9258200997725514,0.16116184721351945,0.8388381527864806
GRB050820A,GRB050820A_151207.png,25637,95372852,1,2,14,2,Other,12,2,6,0,2.99127270878144,0.05807160857569604,0.941928391424304,-0.8892972917998876,0.3120363567395925,0.6879636432604075
GRB050820B,GRB050820B_151334.png,25637,95372855,3,3,13,1,Other,13,3,6,0,2.9541957835039856,0.059822385197866756,0.9401776148021332,-0.7385489458759964,0.23615367738664061,0.7638463226133594
GRB050822,GRB050822_151486.png,25637,95372856,2,4,16,2,Other,6,13,14,0,2.9704426289300225,0.05904717382906077,0.9409528261709392,-0.5940885257860046,0.32025536980634217,0.6797446301936578
GRB050824,GRB050824_151905.png,25637,95372857,8,1,9,13,Too Noisy,9,0,5,0,2.10350877437666,0.0735048259734481,0.9264951740265519,0.5008354224706333,0.12614326547288623,0.8738567345271138
GRB050826,GRB050826_152113.png,25637,95372859,5,8,7,16,Too Noisy,1,8,10,0,2.8982753492378874,0.0625899628216211,0.9374100371783789,-0.4140393356054125,0.19626681210472507,0.8037331878952749
GRB050827,GRB050827_152325.png,25637,95372861,9,5,12,1,Other,15,2,15,0,2.1933784650417927,0.09567887490463045,0.9043211250953695,0.9400193421607683,0.11588732711359806,0.8841126728864019
GRB050904,GRB050904_153514.png,25637,95372863,2,4,14,11,Other,11,1,11,0,2.2011272658140597,0.1150506936707183,0.8849493063292817,1.1445861782233109,0.13599335601467533,0.8640066439853247
GRB050908,GRB050908_154112.png,25637,95372864,14,0,1,2,Simple,13,1,1,0,2.976607830191489,0.05875630258487807,0.9412436974151219,-0.6869094992749589,0.28522178772422935,0.7147782122757707
GRB050911,GRB050911_154630.png,25637,95372865,3,4,17,1,Other,14,12,4,0,2.9555766054809243,0.05975600576023177,0.9402439942397682,-0.6186090569611237,0.24461254651124342,0.7553874534887566
GRB050915A,GRB050915A_155242.png,25637,95372866,3,8,12,4,Other,5,5,16,0,2.5528888301902897,0.0837315630807145,0.9162684369192855,0.6078306738548308,0.16574196679457076,0.8342580332054292
GRB050915B,GRB050915B_155284.png,25637,95372868,3,15,10,2,Extended,6,19,15,0,2.4440645096710583,0.09216554893029127,0.9078344510697087,0.8146881698903526,0.17099168163758294,0.8290083183624171
GRB050916,GRB050916_155408.png,25637,95372869,2,1,15,12,Other,6,2,12,0,2.1284269642818097,0.12319455495650944,0.8768054450434906,1.2770561785690857,0.16228757007193773,0.8377124299280623
GRB050922B,GRB050922B_156434.png,25637,95372870,1,2,3,14,Too Noisy,3,2,4,0,2.9726021658411734,0.058945082876942,0.941054917123058,-0.6605782590758164,0.27817825276726316,0.7218217472327368
GRB050922C,GRB050922C_156467.png,25637,95372872,11,1,0,0,Simple,10,0,1,0,2.9883494705505136,0.058207290702998904,0.9417927092970011,-0.7470873676376284,0.34406480513056015,0.6559351948694399
GRB050925,GRB050925_156838.png,25637,95372875,13,0,2,0,Simple,12,1,0,0,2.96554085255622,0.059279726644865915,0.9407202733551341,-0.561048269402528,0.3155091669218353,0.6844908330781647
GRB051001,GRB051001_157870.png,25637,95372876,3,3,16,14,Other/Too Noisy,9,2,13,0,2.0068376267834855,0.13840635405366264,0.8615936459463374,1.4334554477024897,0.18389294169794512,0.8161070583020549
GRB051006,GRB051006_158593.png,25637,95372877,5,6,16,4,Other,12,3,13,0,2.967478714184394,0.0591876525288102,0.9408123474711898,-0.6294651817966896,0.270165468036184,0.729834531963816
GRB051008,GRB051008_158855.png,25637,95372878,9,7,15,2,Other,21,7,16,0,2.5104966958636616,0.08689959680687753,0.9131004031931225,0.27894407731818466,0.10265835040057203,0.897341649599428
GRB051016A,GRB051016A_159913.png,25637,95372880,6,13,8,3,Extended,10,7,12,0,2.6170702328698754,0.07920094891904528,0.9207990510809547,0.23791547571544322,0.12171044508488893,0.8782895549151111
GRB051016B,GRB051016B_159994.png,25637,95372881,16,1,5,1,Simple,6,9,9,0,2.891917025020253,0.06291469871233679,0.9370853012876632,-0.21160368475757949,0.27265491966070643,0.7273450803392936
GRB051021B,GRB051021B_160672.png,25637,95372882,1,8,1,1,Extended,0,9,2,0,3.0,0.05766888562243744,0.9423311143775626,-1.0,0.3910022189557705,0.6089977810442295
GRB051105A,GRB051105A_162580.png,25637,95372884,14,0,3,2,Simple,11,0,1,0,2.940461832684397,0.06048766484624357,0.9395123351537564,-0.5563035899673183,0.22820504819274867,0.7717949518072513
GRB051109A,GRB051109A_163136.png,25637,95372885,12,12,9,2,,21,6,13,0,1.3779972440082682,0.06447150870536555,0.9355284912946344,1.3779972440082682,0.2619984090646299,0.7380015909353701
GRB051109B,GRB051109B_163170.png,25637,95372887,17,4,5,0,Simple,16,3,9,0,2.8665992577177275,0.06422881473773345,0.9357711852622665,-0.4095141796739611,0.1740663028117564,0.8259336971882436
GRB051111,GRB051111_163438.png,25637,95372889,13,15,0,4,Extended,3,25,3,0,1.9540168418367887,0.11166803541874026,0.8883319645812597,1.3957263155977062,0.14570079675918635,0.8542992032408137
GRB051113,GRB051113_163765.png,25637,95372890,2,4,17,3,Other,11,7,9,0,2.9797977499945336,0.05860650904216724,0.9413934909578328,-0.7094756547606033,0.291456885331427,0.708543114668573
GRB051117A,GRB051117A_164268.png,25637,95372891,3,13,8,6,Extended,2,13,11,0,2.6170702328698754,0.07920094891904528,0.9207990510809547,0.23791547571544322,0.12171044508488893,0.8782895549151111
GRB051117B,GRB051117B_164279.png,25637,95372893,6,5,10,12,Too Noisy,6,3,14,0,2.2699497253739325,0.10793008421069139,0.8920699157893086,1.0593098718411684,0.14382613717386405,0.856173862826136
GRB051210,GRB051210_171931.png,25637,95372894,11,0,0,0,Simple,9,2,0,0,3.0,0.05766888562243744,0.9423311143775626,-1.0,0.3910022189557705,0.6089977810442295
GRB051213,GRB051213_172516.png,25637,95372895,0,2,17,16,Other/Too Noisy,9,5,9,0,1.8342771343396496,0.14692666050757364,0.8530733394924264,1.6119405119954495,0.16396948772964848,0.8360305122703515
GRB051221A,GRB051221A_173780.png,25637,95372896,15,0,0,0,Simple,9,5,0,0,3.0,0.05766888562243744,0.9423311143775626,-1.0,0.3910022189557705,0.6089977810442295
GRB051221B,GRB051221B_173904.png,25637,95372898,1,3,9,16,Too Noisy,3,3,9,0,2.59200006770939,0.080933819849625,0.919066180150375,0.518400013541878,0.16119572305508445,0.8388042769449156
GRB051227,GRB051227_174738.png,25637,95372900,8,17,3,1,Extended,7,14,6,0,2.7327797398222526,0.07177263873699324,0.9282273612630068,0.21021382614017328,0.17810500481156177,0.8218949951884382
GRB060102,GRB060102_175603.png,25637,95372902,6,3,11,3,Other,7,10,5,0,2.781517949836592,0.06890350891195718,0.9310964910880428,0.13245323570650439,0.2411664143526706,0.7588335856473294
GRB060105,GRB060105_175942.png,25637,95372903,0,6,19,1,Other,12,11,15,0,2.861428476436934,0.06450140667186499,0.935498593328135,-0.11445713905747736,0.23349802972984968,0.7665019702701503
GRB060108,GRB060108_176453.png,25637,95372904,15,9,6,1,Simple,16,10,7,0,2.477637207378607,0.0894568983398838,0.9105431016601162,0.42717882885838043,0.10433947947762023,0.8956605205223798
GRB060109,GRB060109_176620.png,25637,95372905,1,1,15,5,Other,9,7,6,0,2.875269652140314,0.0637749516208923,0.9362250483791077,-0.15132998169159548,0.26645682556279904,0.733543174437201
GRB060110,GRB060110_176702.png,25637,95372907,15,13,3,2,Simple,2,30,3,0,2.014327161773075,0.13740727061543012,0.8625927293845699,1.4174894842106824,0.15902089559792265,0.8409791044020773
GRB060111A,GRB060111A_176818.png,25637,95372908,17,3,1,0,Simple,11,8,3,0,2.9626817992671115,0.059415897698489095,0.9405841023015109,-0.5673220466681703,0.27741699180327317,0.7225830081967268
GRB060111B,GRB060111B_176918.png,25637,95372910,1,15,19,3,Other,5,32,15,0,2.1467441948909216,0.12107935226673905,0.878920647733261,1.2428519023052704,0.15052358484467643,0.8494764151553236
GRB060115,GRB060115_177408.png,25637,95372911,0,3,12,0,Other,12,1,3,0,2.905487990874559,0.062224127599699974,0.9377758724003,-0.26413527189768715,0.27831935609203895,0.721680643907961
GRB060116,GRB060116_177533.png,25637,95372914,10,5,9,10,,7,3,14,0,1.260252075625209,0.060481502572069745,0.9395184974279303,1.260252075625209,0.29668936679849667,0.7033106332015033
GRB060117,GRB060117_177666.png,25637,95372915,0,4,16,0,Other,12,5,6,0,2.905487990874559,0.062224127599699974,0.9377758724003,-0.26413527189768715,0.27831935609203895,0.721680643907961
GRB060124,GRB060124_178750.png,25637,95372916,2,1,11,1,Other,4,3,11,0,2.985832270287424,0.058324445427247795,0.9416755545727522,-0.7207181342073092,0.33973574703508214,0.6602642529649179
GRB060202,GRB060202_179968.png,25637,95372917,0,7,14,16,Too Noisy,10,2,13,0,1.855827170883371,0.0844451152718193,0.9155548847281807,1.3059524535845943,0.16049317079226166,0.8395068292077383
GRB060203,GRB060203_180151.png,25637,95372919,3,2,3,14,Too Noisy,3,0,5,0,2.989672946978801,0.05814581231124594,0.9418541876887541,-0.8793155726408238,0.3060177571255631,0.6939822428744369
GRB060204B,GRB060204B_180241.png,25637,95372920,14,15,2,3,Simple/Extended,17,10,8,0,1.8699068757929982,0.15826809305504175,0.8417319069449583,1.5822288949017675,0.15826809305504175,0.8417319069449583
GRB060206,GRB060206_180455.png,25637,95372922,15,4,2,1,Simple,8,12,0,0,2.943467343117637,0.060341287361574514,0.9396587126384255,-0.46475800154489005,0.2575521698395795,0.7424478301604205
GRB060210,GRB060210_180977.png,25637,95372923,2,2,11,1,Other,8,1,10,0,2.9848100289785457,0.058372106706994,0.941627893293006,-0.8528028654224417,0.2907949580481286,0.7092050419518714
GRB060211A,GRB060211A_181126.png,25637,95372924,1,4,11,12,Other/Too Noisy,5,9,9,0,1.867718419094071,0.1108317720637848,0.8891682279362152,1.4941747352752568,0.15861158093483163,0.8413884190651684
GRB060211B,GRB060211B_181156.png,25637,95372927,8,7,14,3,Other,14,6,12,0,2.6396480703843594,0.07767938439901223,0.9223206156009878,0.0,0.11520352425525626,0.8847964757447437
GRB060219,GRB060219_191512.png,25637,95372928,2,1,11,17,Too Noisy,9,2,8,0,2.423950593697548,0.09383641280727684,0.9061635871927232,0.851658316704544,0.17507269060001285,0.8249273093999872
GRB060223A,GRB060223A_192059.png,25637,95372929,11,11,10,6,,10,8,16,0,1.260252075625209,0.060481502572069745,0.9395184974279303,1.260252075625209,0.29668936679849667,0.7033106332015033
GRB060223B,GRB060223B_192152.png,25637,95372931,12,0,17,0,Other,12,2,13,0,2.263009527424072,0.10862358012074624,0.8913764198792538,1.102491821052753,0.19101313965227784,0.8089868603477222
GRB060306,GRB060306_200638.png,25637,95372932,1,4,15,2,Other,6,12,7,0,2.943467343117637,0.060341287361574514,0.9396587126384255,-0.46475800154489005,0.2575521698395795,0.7424478301604205
GRB060312,GRB060312_201391.png,25637,95372933,3,3,14,0,Other,14,4,13,0,2.919985580353726,0.06149684484953455,0.9385031551504655,-0.6488856845230502,0.20321089730756303,0.796789102692437
GRB060313,GRB060313_201487.png,25637,95372935,11,0,0,0,Simple,10,3,0,0,3.0,0.05766888562243744,0.9423311143775626,-1.0,0.3910022189557705,0.6089977810442295
GRB060319,GRB060319_202035.png,25637,95372936,9,10,9,2,,10,12,15,0,1.3525044520011484,0.0588079756589841,0.9411920243410159,0.8115026712006891,0.26912777537515153,0.7308722246248485
GRB060322,GRB060322_202442.png,25637,95372938,0,3,12,0,Other,11,3,9,0,2.905487990874559,0.062224127599699974,0.9377758724003,-0.26413527189768715,0.27831935609203895,0.721680643907961
GRB060323,GRB060323_202505.png,25637,95372939,1,5,16,2,Other,13,5,12,0,2.9070094986690553,0.06214729644372774,0.9378527035562723,-0.29070094986690553,0.2420456809221101,0.7579543190778899
GRB060403,GRB060403_203755.png,25637,95372941,8,17,2,4,Extended,3,21,7,0,2.781090303610467,0.06892805711721528,0.9310719428827847,0.07516460280028289,0.18229126545330354,0.8177087345466965
GRB060413,GRB060413_205096.png,25637,95372942,16,3,8,2,Simple,20,3,8,0,2.7358225547203343,0.07158922013807567,0.9284107798619243,0.23449907611888582,0.19923342287208534,0.8007665771279147
GRB060418,GRB060418_205851.png,25637,95372944,1,4,13,0,Other,7,1,12,0,2.8735244660769563,0.06386598287726541,0.9361340171227346,-0.1690308509457033,0.22553813486448093,0.7744618651355191
GRB060421,GRB060421_206257.png,25637,95372945,6,8,18,3,Other,15,5,17,0,2.8461538461538463,0.06531512849999999,0.9346848715,-0.23076923076923078,0.1750019079323164,0.8249980920676836
GRB060424,GRB060424_206773.png,25637,95372946,4,11,15,1,Other,13,4,18,0,2.266824402482563,0.10824171698269014,0.8917582830173099,1.0161626631818386,0.12530853156022093,0.8746914684397791
GRB060427,GRB060427_207281.png,25637,95372948,3,8,4,17,Too Noisy,2,7,6,0,2.8226252168423103,0.06659378378901204,0.933406216210988,0.0,0.21485305539726784,0.7851469446027322
GRB060428A,GRB060428A_207364.png,25637,95372950,5,8,14,2,Other,19,3,11,0,2.6349301969610397,0.07799432643022608,0.9220056735697739,0.29277002188455997,0.13284184055977577,0.8671581594402242
GRB060428B,GRB060428B_207399.png,25637,95372951,8,5,9,9,,12,3,8,0,1.3206763594884356,0.062224127599699974,0.9377758724003,1.3206763594884356,0.27831935609203895,0.721680643907961
GRB060501,GRB060501_208050.png,25637,95372952,12,7,9,2,Simple,10,15,9,0,2.141239281438989,0.07920094891904528,0.9207990510809547,0.7137464271463296,0.12171044508488893,0.8782895549151111
GRB060502A,GRB060502A_208169.png,25637,95372955,15,8,5,0,Simple,11,19,4,0,2.5511712165731226,0.08385713588307309,0.9161428641169269,0.31889640207164033,0.11176010253460378,0.8882398974653962
GRB060502B,GRB060502B_208275.png,25637,95372956,16,1,5,2,Simple,16,0,1,0,2.9070094986690553,0.06214729644372774,0.9378527035562723,-0.29070094986690553,0.2420456809221101,0.7579543190778899
GRB060507,GRB060507_208870.png,25637,95372957,2,15,5,0,Extended,6,18,9,0,2.8535691936340255,0.06491850217947226,0.9350814978205277,-0.15018785229652765,0.19708940901297312,0.8029105909870269
