Burst Name,Workflow,BurstID,Simple,Extended,Other,Too Noisy,Verify,Follow
No Name Found,25780,95274914,0,0,0,1,,"[0, 0, 0, 0, 0, 1]"
No Name Found,25780,95274920,0,0,0,1,,"[0, 0, 0, 0, 0, 1]"
No Name Found,25780,95274981,0,0,0,2,,"[0, 0, 0, 0, 0, 2]"
No Name Found,25780,95274986,0,0,0,1,,"[0, 0, 0, 0, 0, 1]"
No Name Found,25780,95274992,0,0,0,2,,"[0, 0, 0, 0, 0, 2]"
No Name Found,25780,95274994,0,0,0,1,,"[0, 0, 0, 0, 0, 1]"
No Name Found,25780,95275005,0,0,0,1,,"[0, 0, 0, 0, 0, 1]"
No Name Found,25780,95275007,0,0,0,1,,"[0, 0, 0, 0, 0, 1]"
No Name Found,25780,95275013,0,0,0,1,,"[0, 0, 0, 0, 0, 1]"
No Name Found,25780,95275051,0,0,0,1,,"[0, 0, 0, 0, 0, 1]"
No Name Found,25780,95275068,0,0,0,3,,"[0, 0, 0, 0, 0, 3]"
No Name Found,25780,95281608,84,115,42,1,,"[43, 180, 92, 0, 1, 3]"
No Name Found,25780,95281611,53,105,83,7,,"[82, 73, 142, 0, 9, 17]"
No Name Found,25780,95281613,3,65,165,9,,"[146, 88, 117, 0, 3, 13]"
No Name Found,25780,95281615,17,123,100,6,,"[142, 47, 129, 0, 3, 12]"
No Name Found,25780,95281618,113,88,72,1,,"[151, 99, 116, 0, 9, 12]"
No Name Found,25780,95703071,1,0,0,0,,"[0, 0, 0, 0, 0, 0]"
No Name Found,25780,95703112,69,29,11,1,,"[53, 37, 36, 0, 4, 5]"
No Name Found,25780,95703113,0,25,90,1,,"[64, 42, 51, 0, 7, 9]"
No Name Found,25780,95703114,33,30,56,2,,"[69, 25, 66, 0, 3, 7]"
No Name Found,25780,95703115,50,47,6,0,,"[19, 83, 12, 0, 1, 2]"
No Name Found,25780,95703116,5,15,102,0,,"[39, 26, 82, 0, 3, 3]"
No Name Found,25780,95703117,5,17,70,24,,"[12, 15, 35, 0, 31, 64]"
No Name Found,25780,95703118,5,34,34,49,,"[3, 12, 30, 0, 16, 80]"
No Name Found,25780,95703119,21,79,15,3,,"[2, 91, 39, 0, 5, 8]"
No Name Found,25780,95703120,15,31,66,2,,"[34, 49, 54, 0, 7, 10]"
No Name Found,25780,95703121,40,29,44,0,,"[44, 22, 62, 0, 6, 6]"
No Name Found,25780,95703122,59,56,1,1,,"[21, 69, 36, 0, 5, 7]"
No Name Found,25780,95703123,107,19,8,0,,"[76, 57, 10, 0, 2, 2]"
No Name Found,25780,95703124,110,4,5,4,,"[67, 31, 6, 0, 16, 21]"
No Name Found,25780,95703125,33,74,4,1,,"[9, 99, 10, 0, 4, 5]"
No Name Found,25780,95703126,117,5,1,2,Simple,"[73, 40, 4, 0, 9, 11]"
No Name Found,25780,95703127,105,7,1,1,Simple,"[96, 6, 7, 0, 9, 13]"
No Name Found,25780,95703128,32,50,29,1,,"[12, 80, 59, 0, 3, 4]"
No Name Found,25780,95703129,31,25,59,1,,"[28, 31, 73, 0, 3, 7]"
No Name Found,25780,95703130,103,12,9,1,,"[43, 71, 8, 0, 5, 8]"
No Name Found,25780,95703131,5,6,22,85,,"[2, 3, 9, 0, 9, 104]"
No Name Found,25780,95703132,0,14,75,24,,"[9, 12, 50, 0, 17, 49]"
No Name Found,25780,95703133,20,13,32,49,,"[8, 1, 13, 0, 12, 95]"
No Name Found,25780,95703134,23,42,46,3,,"[37, 18, 71, 0, 3, 9]"
No Name Found,25780,95703135,1,9,6,103,,"[0, 2, 3, 0, 3, 116]"
No Name Found,25780,95703136,1,16,104,7,,"[32, 64, 74, 0, 5, 14]"
No Name Found,25780,95703137,121,3,1,0,Simple,"[108, 6, 9, 0, 10, 11]"
No Name Found,25780,95703138,17,59,28,15,,"[9, 58, 40, 0, 9, 35]"
No Name Found,25780,95703139,2,45,47,27,,"[14, 41, 43, 0, 16, 47]"
No Name Found,25780,95703140,100,8,5,2,,"[61, 51, 1, 0, 6, 10]"
No Name Found,25780,95703141,2,33,92,1,,"[35, 26, 91, 0, 6, 9]"
No Name Found,25780,95703142,87,3,20,2,,"[79, 16, 7, 0, 10, 14]"
No Name Found,25780,95703143,6,11,96,1,,"[61, 53, 55, 0, 6, 7]"
No Name Found,25780,95703144,17,37,71,3,,"[28, 31, 74, 0, 15, 19]"
No Name Found,25780,95703145,22,14,67,8,,"[29, 35, 42, 0, 9, 23]"
No Name Found,25780,95703146,130,6,7,3,,"[120, 12, 17, 0, 5, 8]"
No Name Found,25780,95703147,92,19,4,0,,"[45, 64, 1, 0, 6, 8]"
No Name Found,25780,95703148,32,45,41,5,,"[30, 61, 41, 0, 6, 13]"
No Name Found,25780,95703149,14,105,8,3,,"[6, 104, 36, 0, 2, 6]"
No Name Found,25780,95703150,5,6,41,61,,"[1, 8, 32, 0, 10, 76]"
No Name Found,25780,95703151,114,3,2,0,Simple,"[103, 9, 1, 0, 8, 9]"
No Name Found,25780,95703152,5,31,70,10,,"[26, 39, 44, 0, 12, 26]"
No Name Found,25780,95703153,5,38,74,6,,"[18, 31, 86, 0, 4, 13]"
No Name Found,25780,95703154,71,40,6,3,,"[18, 95, 7, 0, 3, 7]"
No Name Found,25780,95703155,4,31,69,2,,"[49, 20, 53, 0, 4, 8]"
No Name Found,25780,95703156,13,51,20,31,,"[8, 38, 42, 0, 3, 41]"
No Name Found,25780,95703157,39,35,34,1,,"[55, 52, 40, 0, 2, 3]"
