## BurstID | GRBname | Q1 answer | Q2 answer | Feedback 
GRB200829A | A pulse followed by extended emission | One or more pulses with symmetrical structure 
GRB121031A | Other | I don't see any of these (not entirely because the it is too noisy) | The pulses do not look particularly symmetrical, and the data are incomplete.
GRB150711A | Other | Pulses connected with underlying emission | There are multiple pulses (that is, multiples ups and downs), and next pulse arises before the first pulse ends (that is, before the counts in the first pulse go back to zero).
GRB170126A | Only one simple pulse | One or more pulses with the fast-rise and slow-decay shape | This pulse rise quickly to the peak 
GRB220714B | Other | Pulses connected with underlying emission | These three smaller pulses are part of a larger underlying pulse.
GRB220701A | Other | It is too noisy inside the blue region to see any structures | We can tell that it is not a simple pulse or a pulse with extended emission. However, the noise fluctuation in the blue region is similar to the height of the pulse, and thus it is hard to tell any detailed pulse structure from noise. 
GRB220611A | Other | I don't see any of these (not entirely because the it is too noisy) | It seems possible that this burst may have some extended emissions, however it is quite noisy in the blue region to tell for sure. We pick Other because we can tell that it is not a simple pulse. 
GRB220501A | A pulse followed by extended emission | One or more pulses with the fast-rise and slow-decay shape | The light curve has a sharp rise and the pulse lasts for approximately twenty seconds. The remaining part of the blue area has a very weak emission that cannot be picked up by eyes, but computer can see it and includes it in the blue region, which tells us that there are some extended emissions after the first pulse.
GRB220408A | Other | I don't see any of these (not entirely because the it is too noisy) | the graph has a sharp rise and fall then rises again to a smaller pulse afterwards, so there are multiple pulses indicated here but not by underlying emission since the emission dips below the zero count mark between the two pulses. 
GRB220403B | Other | Pulses connected with underlying emissions | The blue region contains multiple pulses (three main pulses) connected by underlying emissions as the counts do not drop back to the zero line between pulses.
GRB210822A | A pulse followed by extended emissions | One or more pulses with the fast-rise and slow-decay shape | This pulse rises fast has a slower decline and has a section of the blue where the emission gets very close to zero, but is detected by computer and thus is included in the blue region.
GRB210730A | Only one simple pulse | I don't see any of these (not entirely because the it is too noisy) | This pulse is clearly a simple pulse, but it is a bit hard to tell whether it is a fast-rise-slow-decay pulse or a symmetrical pulse. Therefore, we didn't choose any of those options. However, if you think this is more like a fast-rise-slow-decay pulse, please go with your judgement. This is an example of an ambiguous case that we would like to collect more data from the volunteers. 
GRB210726A | Only one simple pulse | One or more pulses with symmetrical structure | this is just a fast rise fast fall pulse with the blue region indicating only one bin, so there is not a lot to reference besides it's symmetry 
