## This is from the official XRT page
## GRB | RA | Dec | Err90 | #breaks | lc type | NH_gal | Redshift 
GRB 151004A | 213.63197 | -64.93906 | 6.1 | 0 | TBD | 0.81 | N/A 
GRB 220930A | 64.71712 | 13.34912 | 2.0 | 1 | TBD | 0.28 | N/A 
GRB 220921A | 66.4722 | -40.40567 | 3.2 | 0 | TBD | 2.60&times;10<sup>-2</sup> | N/A 
GRB 220907A | 268.87315 | -20.2895 | 4.0 | 0 | TBD | 0.60 | N/A 
GRB 220826A | 206.41068 | -44.03911 | 1.9 | 2 | TBD | 9.05&times;10<sup>-2</sup> | N/A 
GRB 220813A | 81.5315 | -33.01683 | 2.0 | 3 | TBD | 2.32&times;10<sup>-2</sup> | N/A 
GRB 220730A | N/A | N/A | N/A | 0 | TBD | N/A | N/A 
GRB 220715B | 254.87537 | -33.59768 | 2.2 | 0 | TBD | 0.36 | N/A 
GRB 220714B | 47.08386 | -19.32961 | 1.9 | 2 | TBD | 3.23&times;10<sup>-2</sup> | N/A 
GRB 220711B | 262.01898 | 24.68099 | 2.0 | 2 | TBD | 7.40&times;10<sup>-2</sup> | N/A 
GRB 220710A | 221.5670748695 | 20.6582933892 | 6.9 | 0 | TBD | 2.60&times;10<sup>-2</sup> | N/A 
GRB 220708B | 248.58048 | 36.34861 | 2.2 | 0 | TBD | 1.38&times;10<sup>-2</sup> | N/A 
GRB 220708A | 103.1257 | 72.14111 | 2.5 | 0 | TBD | 9.78&times;10<sup>-2</sup> | N/A 
GRB 220706A | 0.60442 | -16.41103 | 1.9 | 0 | TBD | 2.40&times;10<sup>-2</sup> | N/A 
GRB 220701A | 242.50552 | 55.40808 | 2.3 | 0 | TBD | 1.03&times;10<sup>-2</sup> | N/A 
GRB 220627A | 201.36878 | -32.42624 | 3.1 | 0 | TBD | 4.90&times;10<sup>-2</sup> | N/A 
GRB 220623A | 145.3938 | 75.82101 | 2.0 | 0 | TBD | 2.49&times;10<sup>-2</sup> | N/A 
GRB 220618A | 38.98601 | 55.21548 | 2.0 | 2 | TBD | 0.47 | N/A 
GRB 220611A | 66.51464 | -37.25989 | 2.0 | 2 | TBD | 2.66&times;10<sup>-2</sup> | N/A 
GRB 220527A | 323.52793 | -14.97185 | 2.5 | 0 | TBD | 6.25&times;10<sup>-2</sup> | N/A 
GRB 220521A | 275.22981 | 10.37179 | 2.1 | 1 | TBD | 0.19 | 5.6 
GRB 220518A | 55.34318 | -47.58377 | 2.0 | 1 | TBD | 9.33&times;10<sup>-3</sup> | N/A 
GRB 220511A | 287.4315663315 | 17.7298755577 | 5.5 | 0 | TBD | 0.59 | N/A 
GRB 220506A | 239.7256471414 | -26.4186028208 | 7.5 | 0 | TBD | 0.13 | N/A 
GRB 220430A | 97.61209 | 9.54752 | 2.0 | 4 | TBD | 0.65 | N/A 
GRB 220427A | 275.88832 | -56.25511 | 2.0 | 0 | TBD | 0.10 | N/A 
GRB 220412A | 123.96812 | 30.34291 | 2.1 | 1 | TBD | 3.70&times;10<sup>-2</sup> | N/A 
GRB 220408A | 202.41658 | 47.06912 | 2.0 | 1 | TBD | 1.98&times;10<sup>-2</sup> | N/A 
GRB 220403B | 191.4764538517 | 89.184645084 | 3.5 | 2 | TBD | 0.12 | N/A 
GRB 220325A | 269.48751 | -7.03592 | 2.2 | 0 | TBD | 0.39 | N/A 
GRB 220319A | 218.2244 | 61.29535 | 2.1 | 0 | TBD | 1.49&times;10<sup>-2</sup> | N/A 
GRB 220306B | 5.38791 | 71.36362 | 2.1 | 0 | TBD | 0.41 | N/A 
GRB 220305A | 107.59854 | -37.68033 | 2.0 | 0 | TBD | 0.26 | N/A 
GRB 220302A | 301.43044 | 49.38699 | 2.9 | 0 | TBD | 0.34 | N/A 
GRB 220219B | 240.91414 | 31.23404 | 2.8 | 0 | TBD | 2.56&times;10<sup>-2</sup> | N/A 
GRB 220118A | 192.26849 | 22.91528 | 2.0 | 1 | TBD | 2.25&times;10<sup>-2</sup> | N/A 
GRB 220117B | 191.953 | -28.74544 | 2.0 | 2 | TBD | 7.58&times;10<sup>-2</sup> | N/A 
GRB 220117A | 91.5725 | -28.4374 | 2.0 | 2 | TBD | 2.57&times;10<sup>-2</sup> | 4.961 
GRB 220107B | 216.40672 | 20.17064 | 2.9 | 0 | TBD | 3.15&times;10<sup>-2</sup> | N/A 
GRB 220107A | 169.80698 | 34.17063 | 2.0 | 0 | TBD | 2.21&times;10<sup>-2</sup> | N/A 
GRB 220101A | 1.35372 | 31.76882 | 1.9 | 5 | TBD | 6.29&times;10<sup>-2</sup> | 4.61 
GRB 211227A | 132.14889 | -2.73531 | 2.4 | 2 | TBD | 2.37&times;10<sup>-2</sup> | N/A 
GRB 211221A | 78.89747 | 0.91454 | 1.9 | 0 | TBD | 0.14 | N/A 
GRB 211211A | 212.292 | 27.88856 | 1.9 | 5 | TBD | 1.76&times;10<sup>-2</sup> | N/A 
GRB 211207A | 149.62369 | -24.35895 | 2.1 | 0 | TBD | 4.94&times;10<sup>-2</sup> | 2.272 
GRB 211129A | 274.58026 | 31.78891 | 2.0 | 3 | TBD | 8.81&times;10<sup>-2</sup> | N/A 
GRB 211107B | 65.80812 | -27.56084 | 2.7 | 0 | TBD | 4.25&times;10<sup>-2</sup> | N/A 
GRB 211106A | 343.58521 | -53.23028 | 3.4 | 0 | TBD | 1.06&times;10<sup>-2</sup> | N/A 
GRB 211025A | 162.38297 | 31.51228 | 2.0 | 2 | TBD | 2.38&times;10<sup>-2</sup> | N/A 
GRB 211024B | 154.71268 | 24.56825 | 1.9 | 2 | TBD | 2.08&times;10<sup>-2</sup> | 1.1137 
GRB 211023B | 170.30871 | 39.13534 | 2.7 | 0 | TBD | 2.30&times;10<sup>-2</sup> | N/A 
GRB 210930A | 197.4019 | 48.62861 | 1.8 | 0 | TBD | 9.55&times;10<sup>-3</sup> | N/A 
GRB 210928A | N/A | N/A | N/A | 0 | TBD | 0.23 | N/A 
GRB 210919A | 80.25436 | 1.31169 | 4.7 | 0 | TBD | 0.16 | N/A 
GRB 210912A | 129.89235 | 79.22108 | 3.4 | 2 | TBD | 2.40&times;10<sup>-2</sup> | N/A 
GRB 210905A | 309.0485 | -44.44008 | 1.5 | 3 | TBD | 3.38&times;10<sup>-2</sup> | 6.318 
GRB 210901A | 295.27774 | -76.92658 | 2.0 | 2 | TBD | 0.10 | N/A 
GRB 210827A | 174.9002 | 55.72374 | 4.6 | 0 | TBD | 1.06&times;10<sup>-2</sup> | N/A 
GRB 210824A | 232.10587 | 11.15349 | 1.8 | 0 | TBD | 3.31&times;10<sup>-2</sup> | N/A 
GRB 210822A | 304.43746 | 5.28348 | 1.4 | 1 | TBD | 0.15 | 1.736 
GRB 210820A | 20.63962 | 4.60762 | 2.4 | 1 | TBD | 3.59&times;10<sup>-2</sup> | N/A 
GRB 210818A | 148.87074 | -87.02596 | 1.5 | 3 | TBD | 0.17 | N/A 
GRB 210807C | 143.53396 | -51.40115 | 1.4 | 1 | TBD | 0.85 | N/A 
GRB 210807A | 76.68405 | 58.24979 | 1.5 | 3 | TBD | 0.34 | N/A 
GRB 210802A | 230.72275 | 29.9019 | 3.9 | 0 | TBD | 2.02&times;10<sup>-2</sup> | N/A 
GRB 210731A | 300.30472 | -28.06103 | 1.8 | 1 | TBD | 0.11 | 1.2525 
GRB 210730A | 149.5921 | 69.68946 | 1.8 | 0 | TBD | 6.28&times;10<sup>-2</sup> | N/A 
GRB 210726A | 193.29088 | 19.1902 | 1.7 | 2 | TBD | 1.73&times;10<sup>-2</sup> | N/A 
GRB 210725B | 192.92225 | 17.1079 | 2.2 | 0 | TBD | 2.02&times;10<sup>-2</sup> | N/A 
GRB 210725A | 215.37424 | -1.19268 | 1.4 | 1 | TBD | 4.09&times;10<sup>-2</sup> | N/A 
GRB 210724A | 227.4146 | -6.29093 | 3.3 | 1 | TBD | 8.23&times;10<sup>-2</sup> | N/A 
GRB 210723A | 121.72115 | -32.88562 | 1.4 | 2 | TBD | 0.77 | N/A 
GRB 210722A | 27.03024 | -6.34759 | 1.4 | 3 | TBD | 2.23&times;10<sup>-2</sup> | N/A 
GRB 210712A | 97.33179 | -35.37166 | 1.6 | 2 | TBD | 8.89&times;10<sup>-2</sup> | N/A 
GRB 210708A | 173.7355993169 | -49.1508738068 | 7.0 | 0 | TBD | 0.16 | N/A 
GRB 210706A | 311.99467 | 13.31694 | 2.6 | 0 | TBD | 9.67&times;10<sup>-2</sup> | N/A 
GRB 210704A | 159.02171 | 57.21641 | 2.7 | 0 | TBD | 5.59&times;10<sup>-3</sup> | N/A 
GRB 210702A | 168.57869 | -36.74717 | 1.4 | 1 | TBD | 0.12 | 1.16 
GRB 210626A | 221.52479 | -1.15595 | 6.9 | 0 | TBD | 4.39&times;10<sup>-2</sup> | N/A 
GRB 210619B | 319.71834 | 33.85005 | 1.4 | 2 | TBD | 0.20 | 1.937 
GRB 210618A | 235.7695194561 | 46.070167228 | 8.8 | 0 | TBD | 1.32&times;10<sup>-2</sup> | N/A 
GRB 210610B | 243.91865 | 14.39904 | 1.5 | 4 | TBD | 3.94&times;10<sup>-2</sup> | 1.13 
GRB 210610A | 204.28223 | 14.46539 | 1.5 | 1 | TBD | 2.19&times;10<sup>-2</sup> | 3.54 
GRB 210606A | 170.9411 | 0.81286 | 2.1 | 0 | TBD | 3.75&times;10<sup>-2</sup> | N/A 
GRB 210605B | 15.7468695793 | -6.4298081412 | 8.9 | 0 | TBD | 7.70&times;10<sup>-2</sup> | N/A 
GRB 210527A | 172.3207 | 31.62601 | 2.0 | 0 | TBD | 1.85&times;10<sup>-2</sup> | N/A 
GRB 210517A | 358.22396 | -39.10179 | 1.9 | 0 | TBD | 1.30&times;10<sup>-2</sup> | 2.486 
GRB 210515C | 1.09413 | -14.9534 | 1.7 | 1 | TBD | 2.62&times;10<sup>-2</sup> | N/A 
GRB 210514A | 2.96181 | -21.89457 | 1.4 | 3 | TBD | 2.00&times;10<sup>-2</sup> | N/A 
GRB 210509A | 350.3756 | 6.6713 | 2.3 | 0 | TBD | 7.11&times;10<sup>-2</sup> | N/A 
GRB 210504A | 222.39105 | -30.53345 | 1.4 | 2 | TBD | 0.13 | 2.077 
GRB 210421A | 104.87446 | 4.92229 | 1.7 | 2 | TBD | 0.46 | N/A 
GRB 210420B | 254.3239742349 | 42.5702810007 | 7.0 | 3 | TBD | 2.09&times;10<sup>-2</sup> | 1.4 
GRB 210419C | 212.9626 | 36.0074 | 1.8 | 1 | TBD | 1.12&times;10<sup>-2</sup> | N/A 
GRB 210419A | 86.85076 | -65.50223 | 1.4 | 1 | TBD | 7.76&times;10<sup>-2</sup> | N/A 
GRB 210411C | 296.61145 | -39.39815 | 1.4 | 1 | TBD | 8.10&times;10<sup>-2</sup> | 2.826 
GRB 210410A | 269.75437 | 45.36192 | 2.2 | 1 | TBD | 3.96&times;10<sup>-2</sup> | N/A 
GRB 210402A | 198.25917 | 44.51452 | 1.4 | 2 | TBD | 1.51&times;10<sup>-2</sup> | N/A 
GRB 210323A | 317.94662 | 25.36919 | 1.7 | 2 | TBD | 0.12 | N/A 
GRB 210321A | 87.89579 | 70.13055 | 1.5 | 0 | TBD | 0.11 | 1.487 
GRB 210318B | 264.23517 | -35.8247 | 1.4 | 1 | TBD | 0.71 | N/A 
GRB 210318A | 33.92617 | -37.77681 | 2.4 | 0 | TBD | 1.88&times;10<sup>-2</sup> | N/A 
GRB 210308A | 67.07415 | 37.4339 | 1.4 | 1 | TBD | 0.45 | N/A 
GRB 210307A | 119.23865 | -66.97097 | 1.4 | 5 | TBD | 0.14 | N/A 
GRB 210306A | 129.95762 | 60.20524 | 1.4 | 1 | TBD | 4.22&times;10<sup>-2</sup> | N/A 
GRB 210305A | 319.81068 | 34.55409 | 1.5 | 2 | TBD | 0.20 | N/A 
GRB 210226A | 124.11529 | 57.5839 | 1.6 | 2 | TBD | 5.24&times;10<sup>-2</sup> | N/A 
GRB 210222B | 154.60575 | -14.93176 | 1.5 | 1 | TBD | 8.87&times;10<sup>-2</sup> | N/A 
GRB 210218A | 47.3222552663 | 35.3240691278 | 8.5 | 0 | TBD | 0.19 | N/A 
GRB 210217A | 97.58441 | 68.7253 | 1.6 | 1 | TBD | 8.69&times;10<sup>-2</sup> | N/A 
GRB 210212A | 72.26682 | 7.26969 | 4.3 | 1 | TBD | 0.11 | N/A 
GRB 210211A | 269.43966 | -46.26723 | 2.3 | 0 | TBD | 0.12 | N/A 
GRB 210210A | 262.77033 | 14.66251 | 1.4 | 1 | TBD | 8.82&times;10<sup>-2</sup> | 0.715 
GRB 210209A | 328.12215 | 43.55705 | 1.4 | 4 | TBD | 0.37 | N/A 
